    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
      0.4      0.2      110      150      150      150
      0.4      0.2      120      150      150      150
      0.4      0.2      130      150      150      150
      0.4      0.2      140      150      150      150
      0.4      0.2      150      150      150      150
      0.4      0.2      160      150      150      150
      0.4      0.2      170      150      150      150
      0.4      0.2      180      150      150      150
      0.4      0.2      190      150      150      150
      0.4      0.2      200      150      150      150
      0.4      0.3       10      150      150      150
      0.4      0.3       20      150      150      150
      0.4      0.3       30      150      150      150
      0.4      0.3       40      150      150      150
      0.4      0.3       50      150      150      150
      0.4      0.3       60      150      150      150
      0.4      0.3       70      150      150      150
      0.4      0.3       80      150      150      150
      0.4      0.3       90      150      150      150
      0.4      0.3      100      150      150      150
      0.4      0.3      110      150      150      150
      0.4      0.3      120      150      150      150
      0.4      0.3      130      150      150      150
      0.4      0.3      140      150      150      150
      0.4      0.3      150      150      150      150
      0.4      0.3      160      150      150      150
      0.4      0.3      170      150      150      150
      0.4      0.3      180      150      150      150
      0.4      0.3      190      150      150      150
      0.4      0.3      200      150      150      150
      0.4      0.4       10      150      150      150
      0.4      0.4       20      150      150      150
      0.4      0.4       30      150      150      150
      0.4      0.4       40      150      150      150
      0.4      0.4       50      150      150      150
      0.4      0.4       60      150      150      150
      0.4      0.4       70      150      150      150
      0.4      0.4       80      150      150      150
      0.4      0.4       90      150      150      150
      0.4      0.4      100      150      150      150
      0.4      0.4      110      150      150      150
      0.4      0.4      120      150      150      150
      0.4      0.4      130      150      150      150
      0.4      0.4      140      150      150      150
      0.4      0.4      150      150      150      150
      0.4      0.4      160      150      150      150
      0.4      0.4      170      150      150      150
      0.4      0.4      180      150      150      150
      0.4      0.4      190      150      150      150
      0.4      0.4      200      150      150      150
      0.4      0.5       10      150      150      150
      0.4      0.5       20      150      150      150
      0.4      0.5       30      150      150      150
      0.4      0.5       40      150      150      150
      0.4      0.5       50      150      150      150
      0.4      0.5       60      150      150      150
      0.4      0.5       70      150      150      150
      0.4      0.5       80      150      150      150
      0.4      0.5       90      150      150      150
      0.4      0.5      100      150      150      150
      0.4      0.5      110      150      150      150
      0.4      0.5      120      150      150      150
      0.4      0.5      130      150      150      150
      0.4      0.5      140      150      150      150
      0.4      0.5      150      150      150      150
      0.4      0.5      160      150      150      150
      0.4      0.5      170      150      150      150
      0.4      0.5      180      150      150      150
      0.4      0.5      190      150      150      150
      0.4      0.5      200      150      150      150
      0.4      0.6       10      150      150      150
      0.4      0.6       20      150      150      150
      0.4      0.6       30      150      150      150
      0.4      0.6       40      150      150      150
      0.4      0.6       50      150      150      150
      0.4      0.6       60      150      150      150
      0.4      0.6       70      150      150      150
      0.4      0.6       80      150      150      150
      0.4      0.6       90      150      150      150
      0.4      0.6      100      150      150      150
      0.4      0.6      110      150      150      150
      0.4      0.6      120      150      150      150
      0.4      0.6      130      150      150      150
      0.4      0.6      140      150      150      150
      0.4      0.6      150      150      150      150
      0.4      0.6      160      150      150      150
      0.4      0.6      170      150      150      150
      0.4      0.6      180      150      150      150
      0.4      0.6      190      150      150      150
      0.4      0.6      200      150      150      150
      0.4      0.7       10      150      150      150
      0.4      0.7       20      150      150      150
      0.4      0.7       30      150      150      150
      0.4      0.7       40      150      150      150
      0.4      0.7       50      150      150      150
      0.4      0.7       60      150      150      150
      0.4      0.7       70      150      150      150
      0.4      0.7       80      150      150      150
      0.4      0.7       90      150      150      150
      0.4      0.7      100      150      150      150
      0.4      0.7      110      150      150      150
      0.4      0.7      120      150      150      150
      0.4      0.7      130      150      150      150
      0.4      0.7      140      150      150      150
      0.4      0.7      150      150      150      150
      0.4      0.7      160      150      150      150
      0.4      0.7      170      150      150      150
      0.4      0.7      180      150      150      150
      0.4      0.7      190      150      150      150
      0.4      0.7      200      150      150      150
      0.4      0.8       10      150      150      150
      0.4      0.8       20      150      150      150
      0.4      0.8       30      150      150      150
      0.4      0.8       40      150      150      150
      0.4      0.8       50      150      150      150
      0.4      0.8       60      150      150      150
      0.4      0.8       70      150      150      150
      0.4      0.8       80      150      150      150
      0.4      0.8       90      150      150      150
      0.4      0.8      100      150      150      150
      0.4      0.8      110      150      150      150
      0.4      0.8      120      150      150      150
      0.4      0.8      130      150      150      150
      0.4      0.8      140      150      150      150
      0.4      0.8      150      150      150      150
      0.4      0.8      160      150      150      150
      0.4      0.8      170      150      150      150
      0.4      0.8      180      150      150      150
      0.4      0.8      190      150      150      150
      0.4      0.8      200      150      150      150
      0.4      0.9       10      150      150      150
      0.4      0.9       20      150      150      150
      0.4      0.9       30      150      150      150
      0.4      0.9       40      150      150      150
      0.4      0.9       50      150      150      150
      0.4      0.9       60      150      150      150
      0.4      0.9       70      150      150      150
      0.4      0.9       80      150      150      150
      0.4      0.9       90      150      150      150
      0.4      0.9      100      150      150      150
      0.4      0.9      110      150      150      150
      0.4      0.9      120      150      150      150
      0.4      0.9      130      150      150      150
      0.4      0.9      140      150      150      150
      0.4      0.9      150      150      150      150
      0.4      0.9      160      150      150      150
      0.4      0.9      170      150      150      150
      0.4      0.9      180      150      150      150
      0.4      0.9      190      150      150      150
      0.4      0.9      200      150      150      150
      0.4        1       10      150      150      150
      0.4        1       20      150      150      150
      0.4        1       30      150      150      150
      0.4        1       40      150      150      150
      0.4        1       50      150      150      150
      0.4        1       60      150      150      150
      0.4        1       70      150      150      150
      0.4        1       80      150      150      150
      0.4        1       90      150      150      150
      0.4        1      100      150      150      150
      0.4        1      110      150      150      150
      0.4        1      120      150      150      150
      0.4        1      130      150      150      150
      0.4        1      140      150      150      150
      0.4        1      150      150      150      150
      0.4        1      160      150      150      150
      0.4        1      170      150      150      150
      0.4        1      180      150      150      150
      0.4        1      190      150      150      150
      0.4        1      200      150      150      150
      0.5      0.1       10      150      220      220
      0.5      0.1       20      150      220      220
      0.5      0.1       30      150      220      220
      0.5      0.1       40      150      220      220
      0.5      0.1       50      150      220      220
      0.5      0.1       60      150      220      220
      0.5      0.1       70      150      220      220
      0.5      0.1       80      150      220      220
      0.5      0.1       90      150      220      220
      0.5      0.1      100      150      220      220
      0.5      0.1      110      150      220      220
      0.5      0.1      120      150      220      220
      0.5      0.1      130      150      220      220
      0.5      0.1      140      150      220      220
      0.5      0.1      150      150      220      220
      0.5      0.1      160      150      220      220
      0.5      0.1      170      150      220      220
      0.5      0.1      180      150      220      220
      0.5      0.1      190      150      220      220
      0.5      0.1      200      150      220      220
      0.5      0.2       10      150      220      220
      0.5      0.2       20      150      220      220
      0.5      0.2       30      150      220      220
      0.5      0.2       40      150      220      220
      0.5      0.2       50      150      220      220
      0.5      0.2       60      150      220      220
      0.5      0.2       70      150      220      220
      0.5      0.2       80      150      220      220
      0.5      0.2       90      150      220      220
      0.5      0.2      100      150      220      220
      0.5      0.2      110      150      220      220
      0.5      0.2      120      150      220      220
      0.5      0.2      130      150      220      220
      0.5      0.2      140      150      220      220
      0.5      0.2      150      150      220      220
      0.5      0.2      160      150      220      220
      0.5      0.2      170      150      220      220
      0.5      0.2      180      150      220      220
      0.5      0.2      190      150      220      220
      0.5      0.2      200      150      220      220
      0.5      0.3       10      150      220      220
      0.5      0.3       20      150      220      220
      0.5      0.3       30      150      220      220
      0.5      0.3       40      150      220      220
      0.5      0.3       50      150      220      220
      0.5      0.3       60      150      220      220
      0.5      0.3       70      150      220      220
      0.5      0.3       80      150      220      220
      0.5      0.3       90      150      220      220
      0.5      0.3      100      150      220      220
      0.5      0.3      110      150      220      220
      0.5      0.3      120      150      220      220
      0.5      0.3      130      150      220      220
      0.5      0.3      140      150      220      220
      0.5      0.3      150      150      220      220
      0.5      0.3      160      150      220      220
      0.5      0.3      170      150      220      220
      0.5      0.3      180      150      220      220
      0.5      0.3      190      150      220      220
      0.5      0.3      200      150      220      220
      0.5      0.4       10      150      220      220
      0.5      0.4       20      150      220      220
      0.5      0.4       30      150      220      220
      0.5      0.4       40      150      220      220
      0.5      0.4       50      150      220      220
      0.5      0.4       60      150      220      220
      0.5      0.4       70      150      220      220
      0.5      0.4       80      150      220      220
      0.5      0.4       90      150      220      220
      0.5      0.4      100      150      220      220
      0.5      0.4      110      150      220      220
      0.5      0.4      120      150      220      220
      0.5      0.4      130      150      220      220
      0.5      0.4      140      150      220      220
      0.5      0.4      150      150      220      220
      0.5      0.4      160      150      220      220
      0.5      0.4      170      150      220      220
      0.5      0.4      180      150      220      220
      0.5      0.4      190      150      220      220
      0.5      0.4      200      150      220      220
      0.5      0.5       10      150      220      220
      0.5      0.5       20      150      220      220
      0.5      0.5       30      150      220      220
      0.5      0.5       40      150      220      220
      0.5      0.5       50      150      220      220
      0.5      0.5       60      150      220      220
      0.5      0.5       70      150      220      220
      0.5      0.5       80      150      220      220
      0.5      0.5       90      150      220      220
      0.5      0.5      100      150      220      220
      0.5      0.5      110      150      220      220
      0.5      0.5      120      150      220      220
      0.5      0.5      130      150      220      220
      0.5      0.5      140      150      220      220
      0.5      0.5      150      150      220      220
      0.5      0.5      160      150      220      220
      0.5      0.5      170      150      220      220
      0.5      0.5      180      150      220      220
      0.5      0.5      190      150      220      220
      0.5      0.5      200      150      220      220
      0.5      0.6       10      150      220      220
      0.5      0.6       20      150      220      220
      0.5      0.6       30      150      220      220
      0.5      0.6       40      150      220      220
      0.5      0.6       50      150      220      220
      0.5      0.6       60      150      220      220
      0.5      0.6       70      150      220      220
      0.5      0.6       80      150      220      220
      0.5      0.6       90      150      220      220
      0.5      0.6      100      150      220      220
      0.5      0.6      110      150      220      220
      0.5      0.6      120      150      220      220
      0.5      0.6      130      150      220      220
      0.5      0.6      140      150      220      220
      0.5      0.6      150      150      220      220
      0.5      0.6      160      150      220      220
      0.5      0.6      170      150      220      220
      0.5      0.6      180      150      220      220
      0.5      0.6      190      150      220      220
      0.5      0.6      200      150      220      220
      0.5      0.7       10      150      220      220
      0.5      0.7       20      150      220      220
      0.5      0.7       30      150      220      220
      0.5      0.7       40      150      220      220
      0.5      0.7       50      150      220      220
      0.5      0.7       60      150      220      220
      0.5      0.7       70      150      220      220
      0.5      0.7       80      150      220      220
      0.5      0.7       90      150      220      220
      0.5      0.7      100      150      220      220
      0.5      0.7      110      150      220      220
      0.5      0.7      120      150      220      220
      0.5      0.7      130      150      220      220
      0.5      0.7      140      150      220      220
      0.5      0.7      150      150      220      220
      0.5      0.7      160      150      220      220
      0.5      0.7      170      150      220      220
      0.5      0.7      180      150      220      220
      0.5      0.7      190      150      220      220
      0.5      0.7      200      150      220      220
      0.5      0.8       10      150      220      220
      0.5      0.8       20      150      220      220
      0.5      0.8       30      150      220      220
      0.5      0.8       40      150      220      220
      0.5      0.8       50      150      220      220
      0.5      0.8       60      150      220      220
      0.5      0.8       70      150      220      220
      0.5      0.8       80      150      220      220
      0.5      0.8       90      150      220      220
      0.5      0.8      100      150      220      220
      0.5      0.8      110      150      220      220
      0.5      0.8      120      150      220      220
      0.5      0.8      130      150      220      220
      0.5      0.8      140      150      220      220
      0.5      0.8      150      150      220      220
      0.5      0.8      160      150      220      220
      0.5      0.8      170      150      220      220
      0.5      0.8      180      150      220      220
      0.5      0.8      190      150      220      220
      0.5      0.8      200      150      220      220
      0.5      0.9       10      150      220      220
      0.5      0.9       20      150      220      220
      0.5      0.9       30      150      220      220
      0.5      0.9       40      150      220      220
      0.5      0.9       50      150      220      220
      0.5      0.9       60      150      220      220
      0.5      0.9       70      150      220      220
      0.5      0.9       80      150      220      220
      0.5      0.9       90      150      220      220
      0.5      0.9      100      150      220      220
      0.5      0.9      110      150      220      220
      0.5      0.9      120      150      220      220
      0.5      0.9      130      150      220      220
      0.5      0.9      140      150      220      220
      0.5      0.9      150      150      220      220
      0.5      0.9      160      150      220      220
      0.5      0.9      170      150      220      220
      0.5      0.9      180      150      220      220
      0.5      0.9      190      150      220      220
      0.5      0.9      200      150      220      220
      0.5        1       10      150      220      220
      0.5        1       20      150      220      220
      0.5        1       30      150      220      220
      0.5        1       40      150      220      220
      0.5        1       50      150      220      220
      0.5        1       60      150      220      220
      0.5        1       70      150      220      220
      0.5        1       80      150      220      220
      0.5        1       90      150      220      220
      0.5        1      100      150      220      220
      0.5        1      110      150      220      220
      0.5        1      120      150      220      220
      0.5        1      130      150      220      220
      0.5        1      140      150      220      220
      0.5        1      150      150      220      220
      0.5        1      160      150      220      220
      0.5        1      170      150      220      220
      0.5        1      180      150      220      220
      0.5        1      190      150      220      220
      0.5        1      200      150      220      220
      0.6      0.1       10      150      220      220
      0.6      0.1       20      150      220      220
      0.6      0.1       30      150      220      220
      0.6      0.1       40      150      220      220
      0.6      0.1       50      150      220      220
      0.6      0.1       60      150      220      220
      0.6      0.1       70      150      220      220
      0.6      0.1       80      150      220      220
      0.6      0.1       90      150      220      220
      0.6      0.1      100      150      220      220
      0.6      0.1      110      150      220      220
      0.6      0.1      120      150      220      220
      0.6      0.1      130      150      220      220
      0.6      0.1      140      150      220      220
      0.6      0.1      150      150      220      220
      0.6      0.1      160      150      220      220
      0.6      0.1      170      150      220      220
      0.6      0.1      180      150      220      220
      0.6      0.1      190      150      220      220
      0.6      0.1      200      150      220      220
      0.6      0.2       10      150      220      220
      0.6      0.2       20      150      220      220
      0.6      0.2       30      150      220      220
      0.6      0.2       40      150      220      220
      0.6      0.2       50      150      220      220
      0.6      0.2       60      150      220      220
      0.6      0.2       70      150      220      220
      0.6      0.2       80      150      220      220
      0.6      0.2       90      150      220      220
      0.6      0.2      100      150      220      220
      0.6      0.2      110      150      220      220
      0.6      0.2      120      150      220      220
      0.6      0.2      130      150      220      220
      0.6      0.2      140      150      220      220
      0.6      0.2      150      150      220      220
      0.6      0.2      160      150      220      220
      0.6      0.2      170      150      220      220
      0.6      0.2      180      150      220      220
      0.6      0.2      190      150      220      220
      0.6      0.2      200      150      220      220
      0.6      0.3       10      150      220      220
      0.6      0.3       20      150      220      220
      0.6      0.3       30      150      220      220
      0.6      0.3       40      150      220      220
      0.6      0.3       50      150      220      220
      0.6      0.3       60      150      220      220
      0.6      0.3       70      150      220      220
      0.6      0.3       80      150      220      220
      0.6      0.3       90      150      220      220
      0.6      0.3      100      150      220      220
      0.6      0.3      110      150      220      220
      0.6      0.3      120      150      220      220
      0.6      0.3      130      150      220      220
      0.6      0.3      140      150      220      220
      0.6      0.3      150      150      220      220
      0.6      0.3      160      150      220      220
      0.6      0.3      170      150      220      220
      0.6      0.3      180      150      220      220
      0.6      0.3      190      150      220      220
      0.6      0.3      200      150      220      220
      0.6      0.4       10      150      220      220
      0.6      0.4       20      150      220      220
      0.6      0.4       30      150      220      220
      0.6      0.4       40      150      220      220
      0.6      0.4       50      150      220      220
      0.6      0.4       60      150      220      220
      0.6      0.4       70      150      220      220
      0.6      0.4       80      150      220      220
      0.6      0.4       90      150      220      220
      0.6      0.4      100      150      220      220
      0.6      0.4      110      150      220      220
      0.6      0.4      120      150      220      220
      0.6      0.4      130      150      220      220
      0.6      0.4      140      150      220      220
      0.6      0.4      150      150      220      220
      0.6      0.4      160      150      220      220
      0.6      0.4      170      150      220      220
      0.6      0.4      180      150      220      220
      0.6      0.4      190      150      220      220
      0.6      0.4      200      150      220      220
      0.6      0.5       10      150      220      220
      0.6      0.5       20      150      220      220
      0.6      0.5       30      150      220      220
      0.6      0.5       40      150      220      220
      0.6      0.5       50      150      220      220
      0.6      0.5       60      150      220      220
      0.6      0.5       70      150      220      220
      0.6      0.5       80      150      220      220
      0.6      0.5       90      150      220      220
      0.6      0.5      100      150      220      220
      0.6      0.5      110      150      220      220
      0.6      0.5      120      150      220      220
      0.6      0.5      130      150      220      220
      0.6      0.5      140      150      220      220
      0.6      0.5      150      150      220      220
      0.6      0.5      160      150      220      220
      0.6      0.5      170      150      220      220
      0.6      0.5      180      150      220      220
      0.6      0.5      190      150      220      220
      0.6      0.5      200      150      220      220
      0.6      0.6       10      150      220      220
      0.6      0.6       20      150      220      220
      0.6      0.6       30      150      220      220
      0.6      0.6       40      150      220      220
      0.6      0.6       50      150      220      220
      0.6      0.6       60      150      220      220
      0.6      0.6       70      150      220      220
      0.6      0.6       80      150      220      220
      0.6      0.6       90      150      220      220
      0.6      0.6      100      150      220      220
      0.6      0.6      110      150      220      220
      0.6      0.6      120      150      220      220
      0.6      0.6      130      150      220      220
      0.6      0.6      140      150      220      220
      0.6      0.6      150      150      220      220
      0.6      0.6      160      150      220      220
      0.6      0.6      170      150      220      220
      0.6      0.6      180      150      220      220
      0.6      0.6      190      150      220      220
      0.6      0.6      200      150      220      220
      0.6      0.7       10      150      220      220
      0.6      0.7       20      150      220      220
      0.6      0.7       30      150      220      220
      0.6      0.7       40      150      220      220
      0.6      0.7       50      150      220      220
      0.6      0.7       60      150      220      220
      0.6      0.7       70      150      220      220
      0.6      0.7       80      150      220      220
      0.6      0.7       90      150      220      220
      0.6      0.7      100      150      220      220
      0.6      0.7      110      150      220      220
      0.6      0.7      120      150      220      220
      0.6      0.7      130      150      220      220
      0.6      0.7      140      150      220      220
      0.6      0.7      150      150      220      220
      0.6      0.7      160      150      220      220
      0.6      0.7      170      150      220      220
      0.6      0.7      180      150      220      220
      0.6      0.7      190      150      220      220
      0.6      0.7      200      150      220      220
      0.6      0.8       10      150      220      220
      0.6      0.8       20      150      220      220
      0.6      0.8       30      150      220      220
      0.6      0.8       40      150      220      220
      0.6      0.8       50      150      220      220
      0.6      0.8       60      150      220      220
      0.6      0.8       70      150      220      220
      0.6      0.8       80      150      220      220
      0.6      0.8       90      150      220      220
      0.6      0.8      100      150      220      220
      0.6      0.8      110      150      220      220
      0.6      0.8      120      150      220      220
      0.6      0.8      130      150      220      220
      0.6      0.8      140      150      220      220
      0.6      0.8      150      150      220      220
      0.6      0.8      160      150      220      220
      0.6      0.8      170      150      220      220
      0.6      0.8      180      150      220      220
      0.6      0.8      190      150      220      220
      0.6      0.8      200      150      220      220
      0.6      0.9       10      150      220      220
      0.6      0.9       20      150      220      220
      0.6      0.9       30      150      220      220
      0.6      0.9       40      150      220      220
      0.6      0.9       50      150      220      220
      0.6      0.9       60      150      220      220
      0.6      0.9       70      150      220      220
      0.6      0.9       80      150      220      220
      0.6      0.9       90      150      220      220
      0.6      0.9      100      150      220      220
      0.6      0.9      110      150      220      220
      0.6      0.9      120      150      220      220
      0.6      0.9      130      150      220      220
      0.6      0.9      140      150      220      220
      0.6      0.9      150      150      220      220
      0.6      0.9      160      150      220      220
      0.6      0.9      170      150      220      220
      0.6      0.9      180      150      220      220
      0.6      0.9      190      150      220      220
      0.6      0.9      200      150      220      220
      0.6        1       10      150      220      220
      0.6        1       20      150      220      220
      0.6        1       30      150      220      220
      0.6        1       40      150      220      220
      0.6        1       50      150      220      220
      0.6        1       60      150      220      220
      0.6        1       70      150      220      220
      0.6        1       80      150      220      220
      0.6        1       90      150      220      220
      0.6        1      100      150      220      220
      0.6        1      110      150      220      220
      0.6        1      120      150      220      220
      0.6        1      130      150      220      220
      0.6        1      140      150      220      220
      0.6        1      150      150      220      220
      0.6        1      160      150      220      220
      0.6        1      170      150      220      220
      0.6        1      180      150      220      220
      0.6        1      190      150      220      220
      0.6        1      200      150      220      220
      0.7      0.1       10      150      220      220
      0.7      0.1       20      150      220      220
      0.7      0.1       30      150      220      220
      0.7      0.1       40      150      220      220
      0.7      0.1       50      150      220      220
      0.7      0.1       60      150      220      220
      0.7      0.1       70      150      220      220
      0.7      0.1       80      150      220      220
      0.7      0.1       90      150      220      220
      0.7      0.1      100      150      220      220
      0.7      0.1      110      150      220      220
      0.7      0.1      120      150      220      220
      0.7      0.1      130      150      220      220
      0.7      0.1      140      150      220      220
      0.7      0.1      150      150      220      220
      0.7      0.1      160      150      220      220
      0.7      0.1      170      150      220      220
      0.7      0.1      180      150      220      220
      0.7      0.1      190      150      220      220
      0.7      0.1      200      150      220      220
      0.7      0.2       10      150      220      220
      0.7      0.2       20      150      220      220
      0.7      0.2       30      150      220      220
      0.7      0.2       40      150      220      220
      0.7      0.2       50      150      220      220
      0.7      0.2       60      150      220      220
      0.7      0.2       70      150      220      220
      0.7      0.2       80      150      220      220
      0.7      0.2       90      150      220      220
      0.7      0.2      100      150      220      220
      0.7      0.2      110      150      220      220
      0.7      0.2      120      150      220      220
      0.7      0.2      130      150      220      220
      0.7      0.2      140      150      220      220
      0.7      0.2      150      150      220      220
      0.7      0.2      160      150      220      220
      0.7      0.2      170      150      220      220
      0.7      0.2      180      150      220      220
      0.7      0.2      190      150      220      220
      0.7      0.2      200      150      220      220
      0.7      0.3       10      150      220      220
      0.7      0.3       20      150      220      220
      0.7      0.3       30      150      220      220
      0.7      0.3       40      150      220      220
      0.7      0.3       50      150      220      220
      0.7      0.3       60      150      220      220
      0.7      0.3       70      150      220      220
      0.7      0.3       80      150      220      220
      0.7      0.3       90      150      220      220
      0.7      0.3      100      150      220      220
      0.7      0.3      110      150      220      220
      0.7      0.3      120      150      220      220
      0.7      0.3      130      150      220      220
      0.7      0.3      140      150      220      220
      0.7      0.3      150      150      220      220
      0.7      0.3      160      150      220      220
      0.7      0.3      170      150      220      220
      0.7      0.3      180      150      220      220
      0.7      0.3      190      150      220      220
      0.7      0.3      200      150      220      220
      0.7      0.4       10      150      220      220
      0.7      0.4       20      150      220      220
      0.7      0.4       30      150      220      220
      0.7      0.4       40      150      220      220
      0.7      0.4       50      150      220      220
      0.7      0.4       60      150      220      220
      0.7      0.4       70      150      220      220
      0.7      0.4       80      150      220      220
      0.7      0.4       90      150      220      220
      0.7      0.4      100      150      220      220
      0.7      0.4      110      150      220      220
      0.7      0.4      120      150      220      220
      0.7      0.4      130      150      220      220
      0.7      0.4      140      150      220      220
      0.7      0.4      150      150      220      220
      0.7      0.4      160      150      220      220
      0.7      0.4      170      150      220      220
      0.7      0.4      180      150      220      220
      0.7      0.4      190      150      220      220
      0.7      0.4      200      150      220      220
      0.7      0.5       10      150      220      220
      0.7      0.5       20      150      220      220
      0.7      0.5       30      150      220      220
      0.7      0.5       40      150      220      220
      0.7      0.5       50      150      220      220
      0.7      0.5       60      150      220      220
      0.7      0.5       70      150      220      220
      0.7      0.5       80      150      220      220
      0.7      0.5       90      150      220      220
      0.7      0.5      100      150      220      220
      0.7      0.5      110      150      220      220
      0.7      0.5      120      150      220      220
      0.7      0.5      130      150      220      220
      0.7      0.5      140      150      220      220
      0.7      0.5      150      150      220      220
      0.7      0.5      160      150      220      220
      0.7      0.5      170      150      220      220
      0.7      0.5      180      150      220      220
      0.7      0.5      190      150      220      220
      0.7      0.5      200      150      220      220
      0.7      0.6       10      150      220      220
      0.7      0.6       20      150      220      220
      0.7      0.6       30      150      220      220
      0.7      0.6       40      150      220      220
      0.7      0.6       50      150      220      220
      0.7      0.6       60      150      220      220
      0.7      0.6       70      150      220      220
      0.7      0.6       80      150      220      220
      0.7      0.6       90      150      220      220
      0.7      0.6      100      150      220      220
      0.7      0.6      110      150      220      220
      0.7      0.6      120      150      220      220
      0.7      0.6      130      150      220      220
      0.7      0.6      140      150      220      220
      0.7      0.6      150      150      220      220
      0.7      0.6      160      150      220      220
      0.7      0.6      170      150      220      220
      0.7      0.6      180      150      220      220
      0.7      0.6      190      150      220      220
      0.7      0.6      200      150      220      220
      0.7      0.7       10      150      220      220
      0.7      0.7       20      150      220      220
      0.7      0.7       30      150      220      220
      0.7      0.7       40      150      220      220
      0.7      0.7       50      150      220      220
      0.7      0.7       60      150      220      220
      0.7      0.7       70      150      220      220
      0.7      0.7       80      150      220      220
      0.7      0.7       90      150      220      220
      0.7      0.7      100      150      220      220
      0.7      0.7      110      150      220      220
      0.7      0.7      120      150      220      220
      0.7      0.7      130      150      220      220
      0.7      0.7      140      150      220      220
      0.7      0.7      150      150      220      220
      0.7      0.7      160      150      220      220
      0.7      0.7      170      150      220      220
      0.7      0.7      180      150      220      220
      0.7      0.7      190      150      220      220
      0.7      0.7      200      150      220      220
      0.7      0.8       10      150      220      220
      0.7      0.8       20      150      220      220
      0.7      0.8       30      150      220      220
      0.7      0.8       40      150      220      220
      0.7      0.8       50      150      220      220
      0.7      0.8       60      150      220      220
      0.7      0.8       70      150      220      220
      0.7      0.8       80      150      220      220
      0.7      0.8       90      150      220      220
      0.7      0.8      100      150      220      220
      0.7      0.8      110      150      220      220
      0.7      0.8      120      150      220      220
      0.7      0.8      130      150      220      220
      0.7      0.8      140      150      220      220
      0.7      0.8      150      150      220      220
      0.7      0.8      160      150      220      220
      0.7      0.8      170      150      220      220
      0.7      0.8      180      150      220      220
      0.7      0.8      190      150      220      220
      0.7      0.8      200      150      220      220
      0.7      0.9       10      150      220      220
      0.7      0.9       20      150      220      220
      0.7      0.9       30      150      220      220
      0.7      0.9       40      150      220      220
      0.7      0.9       50      150      220      220
      0.7      0.9       60      150      220      220
      0.7      0.9       70      150      220      220
      0.7      0.9       80      150      220      220
      0.7      0.9       90      150      220      220
      0.7      0.9      100      150      220      220
      0.7      0.9      110      150      220      220
      0.7      0.9      120      150      220      220
      0.7      0.9      130      150      220      220
      0.7      0.9      140      150      220      220
      0.7      0.9      150      150      220      220
      0.7      0.9      160      150      220      220
      0.7      0.9      170      150      220      220
      0.7      0.9      180      150      220      220
      0.7      0.9      190      150      220      220
      0.7      0.9      200      150      220      220
      0.7        1       10      150      220      220
      0.7        1       20      150      220      220
      0.7        1       30      150      220      220
      0.7        1       40      150      220      220
      0.7        1       50      150      220      220
      0.7        1       60      150      220      220
      0.7        1       70      150      220      220
      0.7        1       80      150      220      220
      0.7        1       90      150      220      220
      0.7        1      100      150      220      220
      0.7        1      110      150      220      220
      0.7        1      120      150      220      220
      0.7        1      130      150      220      220
      0.7        1      140      150      220      220
      0.7        1      150      150      220      220
      0.7        1      160      150      220      220
      0.7        1      170      150      220      220
      0.7        1      180      150      220      220
      0.7        1      190      150      220      220
      0.7        1      200      150      220      220
      0.8      0.1       10      150      220      220
      0.8      0.1       20      150      220      220
      0.8      0.1       30      150      220      220
      0.8      0.1       40      150      220      220
      0.8      0.1       50      150      220      220
      0.8      0.1       60      150      220      220
      0.8      0.1       70      150      220      220
      0.8      0.1       80      150      220      220
      0.8      0.1       90      150      220      220
      0.8      0.1      100      150      220      220
      0.8      0.1      110      150      220      220
      0.8      0.1      120      150      220      220
      0.8      0.1      130      150      220      220
      0.8      0.1      140      150      220      220
      0.8      0.1      150      150      220      220
      0.8      0.1      160      150      220      220
      0.8      0.1      170      150      220      220
      0.8      0.1      180      150      220      220
      0.8      0.1      190      150      220      220
      0.8      0.1      200      150      220      220
      0.8      0.2       10      150      220      220
      0.8      0.2       20      150      220      220
      0.8      0.2       30      150      220      220
      0.8      0.2       40      150      220      220
      0.8      0.2       50      150      220      220
      0.8      0.2       60      150      220      220
      0.8      0.2       70      150      220      220
      0.8      0.2       80      150      220      220
      0.8      0.2       90      150      220      220
      0.8      0.2      100      150      220      220
      0.8      0.2      110      150      220      220
      0.8      0.2      120      150      220      220
      0.8      0.2      130      150      220      220
      0.8      0.2      140      150      220      220
      0.8      0.2      150      150      220      220
      0.8      0.2      160      150      220      220
      0.8      0.2      170      150      220      220
      0.8      0.2      180      150      220      220
      0.8      0.2      190      150      220      220
      0.8      0.2      200      150      220      220
      0.8      0.3       10      150      220      220
      0.8      0.3       20      150      220      220
      0.8      0.3       30      150      220      220
      0.8      0.3       40      150      220      220
      0.8      0.3       50      150      220      220
      0.8      0.3       60      150      220      220
      0.8      0.3       70      150      220      220
      0.8      0.3       80      150      220      220
      0.8      0.3       90      150      220      220
